Wind speed,Wind is from,Ground roughtness,Cloud cover,Air themperature,Humidity,Puddle Diameter (meters),Puddle volume (cubic meters),Chemical,Mesurement Heigth,Chemical state,Building,Building surrounding,Initial Puddle Temperature,Type of Puddle,red distance (km),R complement,orange distance,O complement,yellow distance,Y complement,Red Vertical distane,Yellow Vertical distane,Orange Vertical distane,Red Horizontal distane,Yellow Horizontal distane,Orange Horizontal distane,Origin
6.0,NE,Urban or forest,5.0,25.0,81.0,87.29,809.66,Methanol,3,Liquid,Single office,Sheltered,25.0,Burning Puddle,0.08,10.0 kW/(sq m),0.09,5.0 kW/(sq m),0.12,2.0 kW/(sq m),0.04,0.06,0.05,0.13,0.23,0.17,0.11
5.0,NE,open country,8.0,23.0,82.0,9.46,132.65,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.03,0.02,0.01
10.0,ENE,Urban or forest,3.0,21.0,80.0,70.64,316.76,Methanol,3,Liquid,Double storied,Unsheltered,21.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.09,2.0 kW/(sq m),0.03,0.05,0.04,0.1,0.17,0.12,0.08
4.0,ESE,Urban or forest,3.0,23.0,81.0,30.28,276.66,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.02,0.02,0.05,0.09,0.06,0.04
4.0,ENE,Urban or forest,6.0,34.0,87.0,43.1,173.0,Methanol,3,Liquid,Double storied,Unsheltered,34.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.03,0.02,0.07,0.12,0.08,0.05
5.0,NE,Urban or forest,7.0,27.0,80.0,53.57,462.98,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.15,0.11,0.07
6.0,ESE,Urban or forest,7.0,20.0,79.0,96.55,235.66,Methanol,3,Liquid,Double storied,Sheltered,20.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.04,0.07,0.05,0.14,0.25,0.18,0.12
3.0,NNE,open country,4.0,33.0,86.0,35.59,749.54,Methanol,3,Liquid,Enclosed office,,33.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.11,0.07,0.05
4.0,ESE,open country,7.0,19.0,87.0,88.37,638.53,Methanol,3,Liquid,Double storied,Sheltered,19.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.13,2.0 kW/(sq m),0.04,0.06,0.05,0.13,0.24,0.17,0.11
6.0,ENE,open country,10.0,33.0,85.0,52.11,904.66,Methanol,3,Liquid,Enclosed office,,33.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.13,0.1,0.06
8.0,ESE,Urban or forest,4.0,29.0,77.0,67.46,805.32,Methanol,3,Liquid,Enclosed office,,29.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.09,2.0 kW/(sq m),0.03,0.05,0.04,0.1,0.17,0.12,0.08
10.0,NNE,Urban or forest,4.0,27.0,82.0,37.81,498.48,Methanol,3,Liquid,Double storied,Sheltered,27.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.1,0.07,0.05
5.0,NNE,open country,1.0,19.0,80.0,46.18,488.82,Methanol,3,Liquid,Double storied,Sheltered,19.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.03,0.02,0.07,0.13,0.09,0.06
5.0,NE,open country,1.0,19.0,83.0,58.64,911.49,Methanol,3,Liquid,Enclosed office,,19.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.16,0.11,0.08
10.0,ESE,Urban or forest,8.0,22.0,84.0,67.0,350.59,Methanol,3,Liquid,Single office,Sheltered,22.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.09,2.0 kW/(sq m),0.03,0.05,0.03,0.1,0.16,0.12,0.07
7.0,NE,open country,0.0,18.0,86.0,50.67,266.52,Methanol,3,Liquid,Enclosed office,,18.0,Burning Puddle,0.05,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.13,0.1,0.06
10.0,NE,Urban or forest,2.0,24.0,86.0,75.08,885.67,Methanol,3,Liquid,Double storied,Unsheltered,24.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.03,0.05,0.04,0.11,0.19,0.14,0.09
10.0,ESE,Urban or forest,7.0,23.0,84.0,10.0,959.8,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.02,0.02,0.0
9.0,NNE,Urban or forest,2.0,20.0,82.0,39.24,288.0,Methanol,3,Liquid,Double storied,Unsheltered,20.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.11,0.08,0.05
4.0,NNE,Urban or forest,2.0,34.0,82.0,36.2,710.91,Methanol,3,Liquid,Enclosed office,,34.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.11,0.07,0.05
9.0,ENE,Urban or forest,4.0,31.0,79.0,26.45,122.29,Methanol,3,Liquid,Enclosed office,,31.0,Burning Puddle,0.03,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.04,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.07,0.05,0.03
