Wind speed,Wind is from,Ground roughtness,Cloud cover,Air themperature,Humidity,Puddle Diameter (meters),Puddle volume (cubic meters),Chemical,Mesurement Heigth,Chemical state,Building,Building surrounding,Initial Puddle Temperature,Type of Puddle,red distance (km),R complement,orange distance,O complement,yellow distance,Y complement,Red Vertical distane,Yellow Vertical distane,Orange Vertical distane,Red Horizontal distane,Yellow Horizontal distane,Orange Horizontal distane,Origin
9.0,ESE,open country,2.0,23.0,83.0,49.32,992.7,Methanol,3,Liquid,Double storied,Sheltered,23.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.07,0.12,0.09,0.05
6.0,NE,open country,6.0,26.0,78.0,57.82,363.02,Methanol,3,Liquid,Enclosed office,,26.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.15,0.11,0.07
4.0,NNE,open country,3.0,32.0,86.0,33.22,552.56,Methanol,3,Liquid,Enclosed office,,32.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.02,0.02,0.05,0.1,0.07,0.05
10.0,ENE,open country,5.0,29.0,79.0,27.99,225.57,Methanol,3,Liquid,Single office,Sheltered,29.0,Burning Puddle,0.03,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.04,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.07,0.05,0.03
9.0,ENE,open country,7.0,19.0,83.0,15.9,61.5,Methanol,3,Liquid,Double storied,Unsheltered,19.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
8.0,NNE,Urban or forest,9.0,31.0,85.0,54.86,618.76,Methanol,3,Liquid,Double storied,Unsheltered,31.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.15,0.11,0.07
8.0,NNE,Urban or forest,7.0,28.0,83.0,22.3,627.73,Methanol,3,Liquid,Double storied,Sheltered,28.0,Burning Puddle,0.02,10.0 kW/(sq m),0.03,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.02,0.01,0.04,0.06,0.04,0.03
8.0,NE,open country,10.0,28.0,81.0,13.61,429.2,Methanol,3,Liquid,Enclosed office,,28.0,Burning Puddle,0.01,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.01,0.01,0.01,0.02,0.04,0.03,0.02
3.0,ESE,open country,5.0,34.0,83.0,63.08,107.77,Methanol,3,Liquid,Enclosed office,,34.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.03,0.05,0.03,0.1,0.18,0.12,0.08
9.0,ESE,open country,1.0,35.0,80.0,10.57,914.03,Methanol,3,Liquid,Double storied,Unsheltered,35.0,Burning Puddle,0.01,10.0 kW/(sq m),0.01,5.0 kW/(sq m),0.02,2.0 kW/(sq m),0.0,0.01,0.01,0.02,0.03,0.02,0.01
10.0,NNE,Urban or forest,8.0,31.0,86.0,18.06,90.45,Methanol,3,Liquid,Double storied,Sheltered,31.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.01,0.01,0.03,0.05,0.04,0.02
5.0,NE,Urban or forest,4.0,25.0,84.0,35.68,425.8,Methanol,3,Liquid,Enclosed office,,25.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.1,0.07,0.05
6.0,NNE,Urban or forest,2.0,27.0,86.0,37.45,693.5,Methanol,3,Liquid,Single office,Unsheltered,27.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.01,0.03,0.02,0.06,0.11,0.08,0.05
8.0,NE,Urban or forest,1.0,22.0,79.0,76.87,854.95,Methanol,3,Liquid,Single office,Unsheltered,22.0,Burning Puddle,0.07,10.0 kW/(sq m),0.08,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.03,0.05,0.04,0.12,0.2,0.14,0.1
6.0,ESE,open country,2.0,20.0,80.0,68.17,595.51,Methanol,3,Liquid,Double storied,Unsheltered,20.0,Burning Puddle,0.06,10.0 kW/(sq m),0.07,5.0 kW/(sq m),0.1,2.0 kW/(sq m),0.03,0.05,0.04,0.1,0.18,0.13,0.08
9.0,NE,Urban or forest,1.0,32.0,85.0,50.18,57.75,Methanol,3,Liquid,Single office,Unsheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ENE,open country,4.0,27.0,79.0,87.82,211.63,Methanol,3,Liquid,Double storied,Unsheltered,27.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,10.0,30.0,78.0,32.17,644.05,Methanol,3,Liquid,Enclosed office,,30.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,Urban or forest,10.0,32.0,84.0,33.85,523.4,Methanol,3,Liquid,Single office,Sheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ESE,open country,5.0,29.0,84.0,34.56,533.56,Methanol,3,Liquid,Enclosed office,,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,NE,open country,5.0,31.0,83.0,31.54,390.7,Methanol,3,Liquid,Single office,Unsheltered,31.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NNE,open country,3.0,21.0,87.0,19.26,641.83,Methanol,3,Liquid,Double storied,Sheltered,21.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ENE,Urban or forest,8.0,25.0,81.0,67.68,769.4,Methanol,3,Liquid,Enclosed office,,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,ENE,Urban or forest,8.0,21.0,81.0,15.73,831.08,Methanol,3,Liquid,Double storied,Sheltered,21.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,open country,2.0,33.0,85.0,83.85,921.0,Methanol,3,Liquid,Single office,Sheltered,33.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,NNE,Urban or forest,4.0,20.0,82.0,11.37,68.69,Methanol,3,Liquid,Double storied,Sheltered,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ESE,Urban or forest,6.0,26.0,79.0,16.99,300.54,Methanol,3,Liquid,Enclosed office,,26.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NNE,open country,5.0,34.0,77.0,25.88,966.24,Methanol,3,Liquid,Enclosed office,,34.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,1.0,21.0,86.0,13.18,238.38,Methanol,3,Liquid,Single office,Sheltered,21.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,open country,8.0,26.0,86.0,30.64,985.37,Methanol,3,Liquid,Double storied,Sheltered,26.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ESE,open country,5.0,22.0,83.0,82.09,89.69,Methanol,3,Liquid,Single office,Unsheltered,22.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NE,Urban or forest,2.0,25.0,85.0,33.47,611.4,Methanol,3,Liquid,Single office,Sheltered,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NNE,open country,5.0,27.0,82.0,6.55,756.35,Methanol,3,Liquid,Single office,Unsheltered,27.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ENE,Urban or forest,7.0,19.0,80.0,93.69,401.17,Methanol,3,Liquid,Single office,Sheltered,19.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,ENE,Urban or forest,8.0,19.0,86.0,65.65,174.13,Methanol,3,Liquid,Double storied,Sheltered,19.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ENE,open country,7.0,29.0,81.0,20.59,974.31,Methanol,3,Liquid,Enclosed office,,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ENE,open country,3.0,32.0,86.0,93.49,946.89,Methanol,3,Liquid,Double storied,Unsheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ESE,Urban or forest,6.0,25.0,78.0,96.1,228.58,Methanol,3,Liquid,Single office,Unsheltered,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ENE,Urban or forest,1.0,31.0,86.0,85.74,342.15,Methanol,3,Liquid,Single office,Sheltered,31.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NNE,open country,0.0,20.0,83.0,66.4,692.23,Methanol,3,Liquid,Enclosed office,,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NE,open country,7.0,24.0,85.0,70.33,260.57,Methanol,3,Liquid,Double storied,Sheltered,24.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NE,open country,0.0,32.0,81.0,1.64,603.7,Methanol,3,Liquid,Double storied,Unsheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,NE,Urban or forest,0.0,32.0,83.0,72.84,290.3,Methanol,3,Liquid,Single office,Sheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,1.0,32.0,78.0,53.05,38.88,Methanol,3,Liquid,Single office,Sheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,ENE,Urban or forest,8.0,30.0,80.0,57.56,493.18,Methanol,3,Liquid,Enclosed office,,30.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,NNE,Urban or forest,5.0,35.0,80.0,94.72,43.28,Methanol,3,Liquid,Single office,Sheltered,35.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NE,open country,8.0,33.0,81.0,58.81,813.55,Methanol,3,Liquid,Single office,Unsheltered,33.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,NE,Urban or forest,5.0,23.0,87.0,41.5,247.92,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ENE,open country,4.0,22.0,85.0,93.31,801.45,Methanol,3,Liquid,Double storied,Sheltered,22.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,NE,Urban or forest,8.0,24.0,82.0,18.02,953.97,Methanol,3,Liquid,Enclosed office,,24.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,ESE,Urban or forest,6.0,24.0,79.0,97.53,455.4,Methanol,3,Liquid,Single office,Sheltered,24.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,Urban or forest,5.0,28.0,86.0,7.79,471.96,Methanol,3,Liquid,Double storied,Sheltered,28.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,ENE,open country,0.0,32.0,82.0,96.72,567.83,Methanol,3,Liquid,Single office,Unsheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NNE,open country,7.0,28.0,84.0,73.65,897.22,Methanol,3,Liquid,Double storied,Sheltered,28.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,ESE,open country,6.0,29.0,83.0,10.4,182.31,Methanol,3,Liquid,Single office,Sheltered,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ESE,open country,5.0,20.0,82.0,3.28,520.44,Methanol,3,Liquid,Single office,Unsheltered,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ENE,open country,10.0,29.0,84.0,62.94,503.25,Methanol,3,Liquid,Single office,Sheltered,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,NE,Urban or forest,7.0,32.0,79.0,5.08,740.17,Methanol,3,Liquid,Enclosed office,,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,ENE,Urban or forest,2.0,18.0,78.0,5.45,759.62,Methanol,3,Liquid,Single office,Sheltered,18.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,ESE,open country,9.0,18.0,79.0,77.78,63.62,Methanol,3,Liquid,Double storied,Sheltered,18.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ESE,open country,6.0,29.0,77.0,17.71,468.18,Methanol,3,Liquid,Single office,Unsheltered,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,NE,Urban or forest,7.0,22.0,78.0,69.5,582.04,Methanol,3,Liquid,Double storied,Sheltered,22.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,open country,1.0,27.0,78.0,91.69,10.36,Methanol,3,Liquid,Double storied,Sheltered,27.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,NE,open country,6.0,25.0,81.0,52.8,369.54,Methanol,3,Liquid,Double storied,Unsheltered,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,open country,1.0,24.0,83.0,71.36,839.53,Methanol,3,Liquid,Enclosed office,,24.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,open country,4.0,22.0,82.0,24.55,744.09,Methanol,3,Liquid,Enclosed office,,22.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NE,open country,4.0,29.0,83.0,75.57,446.07,Methanol,3,Liquid,Enclosed office,,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NE,Urban or forest,3.0,35.0,78.0,68.62,138.36,Methanol,3,Liquid,Double storied,Sheltered,35.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NNE,open country,9.0,35.0,87.0,10.08,393.57,Methanol,3,Liquid,Enclosed office,,35.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,Urban or forest,4.0,32.0,78.0,8.97,389.86,Methanol,3,Liquid,Enclosed office,,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,ESE,Urban or forest,3.0,29.0,78.0,3.46,440.29,Methanol,3,Liquid,Double storied,Sheltered,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NE,Urban or forest,1.0,29.0,78.0,17.07,894.66,Methanol,3,Liquid,Double storied,Unsheltered,29.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NE,Urban or forest,3.0,33.0,81.0,23.14,403.5,Methanol,3,Liquid,Enclosed office,,33.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,ESE,open country,9.0,35.0,82.0,11.67,586.54,Methanol,3,Liquid,Double storied,Unsheltered,35.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,open country,10.0,25.0,80.0,40.61,314.16,Methanol,3,Liquid,Double storied,Sheltered,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NE,Urban or forest,3.0,21.0,79.0,97.26,752.15,Methanol,3,Liquid,Enclosed office,,21.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,5.0,32.0,83.0,97.99,683.41,Methanol,3,Liquid,Double storied,Unsheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NE,open country,8.0,31.0,78.0,21.35,298.75,Methanol,3,Liquid,Single office,Sheltered,31.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,NNE,open country,4.0,28.0,80.0,85.26,653.09,Methanol,3,Liquid,Enclosed office,,28.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ESE,Urban or forest,0.0,19.0,86.0,45.15,664.0,Methanol,3,Liquid,Double storied,Unsheltered,19.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,ENE,Urban or forest,5.0,20.0,85.0,29.15,734.79,Methanol,3,Liquid,Enclosed office,,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,ESE,open country,4.0,23.0,84.0,9.06,185.0,Methanol,3,Liquid,Double storied,Sheltered,23.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,ESE,Urban or forest,8.0,23.0,87.0,28.28,124.55,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ESE,open country,4.0,26.0,83.0,89.81,592.22,Methanol,3,Liquid,Double storied,Unsheltered,26.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NE,open country,3.0,27.0,79.0,52.39,200.32,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ENE,Urban or forest,2.0,23.0,78.0,4.84,902.82,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,NNE,open country,9.0,24.0,82.0,20.88,49.5,Methanol,3,Liquid,Double storied,Sheltered,24.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,ESE,open country,6.0,30.0,79.0,64.51,218.68,Methanol,3,Liquid,Single office,Sheltered,30.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,open country,1.0,25.0,77.0,46.7,53.05,Methanol,3,Liquid,Enclosed office,,25.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ENE,Urban or forest,2.0,23.0,83.0,60.32,939.21,Methanol,3,Liquid,Enclosed office,,23.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,NNE,open country,9.0,19.0,80.0,56.98,269.82,Methanol,3,Liquid,Enclosed office,,19.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NNE,Urban or forest,7.0,33.0,77.0,84.16,466.48,Methanol,3,Liquid,Double storied,Unsheltered,33.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ESE,open country,3.0,20.0,84.0,89.38,251.66,Methanol,3,Liquid,Single office,Sheltered,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,NE,Urban or forest,4.0,35.0,85.0,12.23,126.77,Methanol,3,Liquid,Single office,Sheltered,35.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,ENE,open country,7.0,19.0,82.0,95.21,671.58,Methanol,3,Liquid,Enclosed office,,19.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,NNE,open country,7.0,32.0,83.0,83.1,882.99,Methanol,3,Liquid,Double storied,Sheltered,32.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,NNE,Urban or forest,3.0,27.0,79.0,42.54,966.91,Methanol,3,Liquid,Enclosed office,,27.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,NE,Urban or forest,7.0,21.0,82.0,28.91,408.08,Methanol,3,Liquid,Single office,Unsheltered,21.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,ESE,open country,6.0,28.0,80.0,94.55,942.65,Methanol,3,Liquid,Enclosed office,,28.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,5.0,31.0,85.0,49.6,917.76,Methanol,3,Liquid,Double storied,Sheltered,31.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,NE,open country,3.0,20.0,82.0,8.5,14.04,Methanol,3,Liquid,Double storied,Unsheltered,20.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,NE,Urban or forest,3.0,33.0,83.0,7.51,548.84,Methanol,3,Liquid,Single office,Unsheltered,33.0,Burning Puddle,,10.0 kW/(sq m),,5.0 kW/(sq m),,2.0 kW/(sq m),0.0,0.0,0.0,0.0,0.0,0.0,0.0
